"STN","AVG_TEMP","AVG_DEWP","AVG_STP","AVG_WDSP"
690190,48.5444030520262,24.7854838709678,967.480241128226,10.8713225743705
720110,53.1694806699653,32.4290322580645,980.396467129398,5.99677419354839
720151,52.7356280579512,18.6516129032258,869.777419354839,8.50967741935484
720261,47.5848350471985,28.8709677419355,988.851612903226,7.52258064516129
720269,63.259811827957,46.158064516129,1014.7935483871,6.68064516129032
720271,50.9806191855022,23.1290322580645,928.235483870968,9.91290322580645
720273,58.2138613021725,45.7690825472927,1016.67708111337,8.15680644533824
720276,64.6325268817204,49.6096774193548,1013.63158158158,6.83870967741935
720281,45.5748252688172,23.5225806451613,973.090322580645,9.60645161290322
720286,49.710514527979,31.5193548387097,991.81935483871,7.56451612903226
720287,46.3983013544547,29.1161290322581,992.470629500468,10.4129032258065
720291,48.6389247311828,34.2548387096774,1003.90967741935,8.73870967741935
720295,49.0215591397849,33.9354838709677,994.292871904162,9.89677419354839
720296,55.1707123655914,47.0225806451613,1012.04804885531,5.16774193548387
720298,51.5551209677419,38.3548387096774,993.989307856243,6.47741935483871
720299,47.8427016129032,32.5516129032258,992.615114307856,8.86451612903226
720302,46.6903629032258,32.9548387096774,1004.06451612903,5.84516129032258
720303,52.6857588040744,37.633598676325,1008.30900093642,6.96774193548387
720305,47.2472335234072,27.258064516129,981.492871904162,9.14838709677419
720311,47.5207795698925,36.4290322580645,1007.29677419355,7.22258064516129
720314,50.9321639784946,36.3290322580645,1003.44771061384,6.29354838709677
720315,38.1157258064516,19.1645161290323,913.535483870968,11.5645161290323
720316,61.7438575268817,46.741935483871,1016.33870967742,9.51290322580645
720318,46.0969027118719,23.1787599666476,979.570629500468,6.85358063888662
720320,49.4354414333993,32.9059070300693,988.447034130905,8.44909676164421
720323,51.7725403225806,34.1322580645161,959.029032258064,7.1258064516129
720391,59.8134408602151,40.9774193548387,980.389514514515,8.25161290322581
720393,42.0331720430108,19.9193548387097,980.389514514515,10.5645161290323
720395,56.7700537634408,34.2607457397467,980.389514514515,4.93870967741935
720404,46.090940860215,26.1645161290323,980.389514514515,9.01612903225806
720542,52.8982123655914,34.2677419354839,980.389514514515,7.28387096774194
720577,49.4965582304152,35.1639298556465,980.389514514515,6.88883862183208
720578,50.6091750103687,28.0516129032258,980.389514514515,9.29032258064516
